delta,lat,lon,depth_top_cm,depth_bot_cm,soc,ph,clay,silt,sand,source
Mississippi,30.1039715,-90.9355010999999,14.0,31.0,11.3,7.5,70.3,28.6,1.1,WoSIS
Mississippi,30.1039715,-90.9355010999999,31.0,41.0,5.8,7.8,81.9,17.3,0.8,WoSIS
Mississippi,30.1039715,-90.9355010999999,41.0,57.0,4.8,7.8,75.7,23.6,0.7,WoSIS
Mississippi,30.1039715,-90.9355010999999,57.0,76.0,4.4,7.9,46.1,52.4,1.5,WoSIS
Mississippi,30.1039715,-90.9355010999999,76.0,99.0,4.2,8.2,20.7,74.0,5.3,WoSIS
Mississippi,30.1039715,-90.9355010999999,99.0,131.0,4.2,8.2,23.6,72.9,3.5,WoSIS
Mississippi,30.4156951999999,-91.1177749999999,0.0,11.0,18.8,4.8,12.0,85.3,2.7,WoSIS
Mississippi,30.4156951999999,-91.1177749999999,11.0,26.0,4.0,4.9,14.1,83.6,2.3,WoSIS
Mississippi,30.4156951999999,-91.1177749999999,26.0,40.0,2.7,5.4,18.7,79.4,1.9,WoSIS
Mississippi,30.4156951999999,-91.1177749999999,40.0,58.0,2.0,6.4,24.3,73.4,2.3,WoSIS
Mississippi,30.4156951999999,-91.1177749999999,58.0,77.0,1.6,7.3,30.5,66.5,3.0,WoSIS
Mississippi,30.4156951999999,-91.1177749999999,77.0,97.0,1.0,8.05,23.8,73.2,3.0,WoSIS
Mississippi,30.4156951999999,-91.1177749999999,97.0,118.0,0.8,8.2,19.3,77.7,3.0,WoSIS
Limpopo,-24.945278,33.436667,0.0,16.0,7.5,6.7,5.6,0.6,93.8,WoSIS
Limpopo,-24.945278,33.436667,16.0,33.0,4.1,6.6,4.4,5.3,90.3,WoSIS
Limpopo,-24.945278,33.436667,33.0,85.0,1.2,6.6,5.0,2.6,92.4,WoSIS
Limpopo,-24.945278,33.436667,85.0,130.0,0.6,6.7,4.2,0.6,95.2,WoSIS
Limpopo,-24.875556,33.454722,0.0,20.0,9.8,5.6,5.0,5.1,89.9,WoSIS
Limpopo,-24.875556,33.454722,20.0,45.0,9.3,5.3,6.2,3.5,90.3,WoSIS
Limpopo,-24.875556,33.454722,45.0,68.0,1.2,5.4,2.5,1.9,95.6,WoSIS
Limpopo,-24.875556,33.454722,68.0,90.0,0.6,5.7,1.0,4.1,95.9,WoSIS
Limpopo,-24.875556,33.454722,90.0,115.0,0.6,5.8,4.0,1.8,94.2,WoSIS
Limpopo,-25.176667,33.495833,0.0,25.0,25.4,5.7,25.9,15.1,59.0,WoSIS
Limpopo,-25.176667,33.495833,25.0,50.0,26.0,5.0,8.2,7.0,84.8,WoSIS
Limpopo,-25.176667,33.495833,50.0,100.0,12.7,3.4,1.2,0.8,98.0,WoSIS
Indus,24.8500003999999,68.3166655999999,0.0,3.0,10.1,7.3,13.7,66.1,20.2,WoSIS
Indus,24.8500003999999,68.3166655999999,3.0,24.0,5.9,7.65,26.5,61.9,11.6,WoSIS
Indus,24.8500003999999,68.3166655999999,24.0,41.0,3.6,7.75,16.4,68.8,14.8,WoSIS
Indus,24.8500003999999,68.3166655999999,41.0,56.0,3.0,7.75,11.9,76.2,11.9,WoSIS
Indus,24.8500003999999,68.3166655999999,56.0,71.0,4.4,7.8,14.3,80.8,4.9,WoSIS
Indus,24.8500003999999,68.3166655999999,71.0,80.0,2.8,7.9,23.7,71.9,4.4,WoSIS
Indus,24.8500003999999,68.3166655999999,80.0,84.0,1.9,7.95,7.4,51.9,40.7,WoSIS
Indus,24.8500003999999,68.3166655999999,84.0,112.0,2.8,7.95,18.0,79.3,2.7,WoSIS
Limpopo,-25.073,33.685,0.0,10.0,9.9,5.8,3.0,4.0,93.0,WoSIS
Limpopo,-25.073,33.685,10.0,23.0,6.4,5.7,4.0,4.0,92.0,WoSIS
Limpopo,-25.073,33.685,23.0,50.0,1.2,5.9,1.0,6.0,93.0,WoSIS
Limpopo,-25.073,33.685,50.0,80.0,0.6,6.1,1.0,7.0,93.0,WoSIS
Limpopo,-25.073,33.685,80.0,139.0,0.6,6.2,3.0,5.0,92.0,WoSIS
Limpopo,-25.109,33.728,0.0,22.0,2.9,5.9,1.0,1.0,98.0,WoSIS
Limpopo,-25.109,33.728,22.0,62.0,1.2,5.9,1.0,4.0,95.0,WoSIS
Yellow River,37.70536804199219,118.70471954345705,0.0,13.0,2.7,8.1,6.0,35.0,60.0,WoSIS
Yellow River,37.70536804199219,118.70471954345705,13.0,40.0,2.8,8.1,6.0,35.0,59.0,WoSIS
Yellow River,37.70536804199219,118.70471954345705,40.0,48.0,2.9,8.2,9.0,42.0,48.0,WoSIS
Yellow River,37.70536804199219,118.70471954345705,48.0,80.0,1.2,7.9,5.0,29.0,66.0,WoSIS
Yellow River,37.70536804199219,118.70471954345705,80.0,150.0,2.2,7.9,7.0,35.0,57.0,WoSIS
Chao Phraya,13.165555555555557,100.93194444444444,0.0,25.0,3.6,5.0,1.0,17.0,82.0,WoSIS
Chao Phraya,13.165555555555557,100.93194444444444,25.0,58.0,1.4,5.4,6.0,13.0,81.0,WoSIS
Chao Phraya,13.165555555555557,100.93194444444444,58.0,120.0,2.0,5.5,3.0,16.0,81.0,WoSIS
Indus,24.8500003999999,68.3166655999999,23.0,41.0,3.6,7.9,16.0,69.0,15.0,WoSIS
Indus,24.8500003999999,68.3166655999999,81.0,84.0,1.9,8.1,7.0,52.0,41.0,WoSIS
Chao Phraya,13.645277777777778,99.95472222222222,0.0,21.0,23.4,5.9,40.0,44.0,15.0,WoSIS
Chao Phraya,13.645277777777778,99.95472222222222,21.0,43.0,3.6,7.7,37.0,51.0,12.0,WoSIS
Chao Phraya,13.645277777777778,99.95472222222222,43.0,67.0,1.6,7.7,27.0,44.0,30.0,WoSIS
Chao Phraya,13.645277777777778,99.95472222222222,67.0,101.0,0.6,7.7,23.0,28.0,49.0,WoSIS
Sacramento,38.3258324,-121.8255539,0.0,15.0,11.3,5.75,12.5,45.9,41.6,WoSIS
Sacramento,38.3258324,-121.8255539,15.0,36.0,4.1,7.7,21.3,41.8,36.9,WoSIS
Sacramento,38.3258324,-121.8255539,36.0,66.0,1.5,8.75,24.0,40.6,35.4,WoSIS
Sacramento,38.3258324,-121.8255539,66.0,100.0,1.1,8.9,34.7,41.5,23.8,WoSIS
Sacramento,38.2443389999999,-122.005210899999,0.0,18.0,12.3,6.0,15.3,47.1,37.6,WoSIS
Sacramento,38.2443389999999,-122.005210899999,18.0,30.0,6.4,6.45,15.6,46.6,37.8,WoSIS
Sacramento,38.2443389999999,-122.005210899999,30.0,38.0,3.5,7.3,15.9,46.7,37.4,WoSIS
Sacramento,38.2443389999999,-122.005210899999,38.0,66.0,3.0,8.066667,37.0,33.6,29.4,WoSIS
Sacramento,38.2443389999999,-122.005210899999,66.0,84.0,1.5,8.433333,33.1,36.8,30.1,WoSIS
Sacramento,38.2443389999999,-122.005210899999,84.0,112.0,1.4,8.733334,36.2,42.3,21.5,WoSIS
Amazon,-0.1167,-51.3,65.0,80.0,4.4,4.7,39.0,16.0,45.0,WoSIS
Amazon,-0.1167,-51.3,0.0,30.0,11.3,4.5,26.0,20.0,54.0,WoSIS
Amazon,-0.1167,-51.3,50.0,65.0,4.9,4.6,34.0,19.0,47.0,WoSIS
Amazon,-0.1167,-51.3,30.0,50.0,9.1,4.6,33.0,18.0,49.0,WoSIS
Amazon,-0.1167,-51.3,80.0,100.0,3.0,4.7,55.0,19.0,26.0,WoSIS
Sacramento,38.2527771,-122.3719406,0.0,10.0,30.9,6.0,21.2,26.7,52.1,WoSIS
Sacramento,38.2527771,-122.3719406,10.0,24.0,19.5,5.6,22.2,27.7,50.1,WoSIS
Sacramento,38.2527771,-122.3719406,24.0,50.0,3.1,5.6,22.7,20.9,56.4,WoSIS
Sacramento,38.2527771,-122.3719406,50.0,75.0,1.3,6.2,17.1,21.7,61.2,WoSIS
Sacramento,38.2527771,-122.3719406,75.0,100.0,1.2,6.4,18.7,22.9,58.4,WoSIS
Mississippi,30.0063324,-91.7636641999999,0.0,15.0,15.3,5.7,31.3,64.6,4.1,WoSIS
Mississippi,30.0063324,-91.7636641999999,15.0,27.0,9.4,7.1,30.3,65.6,4.1,WoSIS
